timestamp,question,results_returned,ids_formations
2026-04-23 15:22:57,tdah,"TDAH : quelles recommandations en 2024 ? (Rediffusion du symposium organisé lors du CFP 2024), TDAH en médecine générale : diagnostic et facteurs de risque, Quiz TDAH : 5 questions clés pour les professionnels de santé , Prise en charge du TDAH, que faut-il savoir en médecine générale ?, Docteur, mon enfant ne tient pas en place : est-ce un TDAH ?",
2026-04-23 15:29:38,tdah,,BIOX38263|IXDZ85506|MAGA69322|DXAV19670|MAGA37546
2026-04-23 15:30:46,problème de sommeil,,"BIOX81974, SATA45269, SATA11544, SATA83818, BIOX00406"
2026-04-24 09:04:04,psoriasis,,"LSVR70191, KZKD02596, KZKD62084, LSVR77493, KZKD52544"
2026-05-13 15:07:03,violence envers les femmes,,"LAMD65325, CTST75232, CTST91322, ANCI44504, EXSC93221"
2026-05-18 09:52:47,tdah,,"BIOX38263, IXDZ85506, MAGA69322, DXAV19670, MAGA37546"
2026-05-18 09:53:51,tdah,,"BIOX38263, IXDZ85506, MAGA69322, DXAV19670, MAGA37546"
2026-05-18 14:09:24,akfeldpo,,"GCAA81204, GCAA56017, GEAD82617, IXCP40135, SFSP61990"
2026-05-18 14:36:17,gestion du sommeil pour un patient TDAH,,"BIOX81974, BIOX00406, BIOX88234, DXAV19670, MAGA37546"
2026-05-18 14:44:54,sommeil et axient,,"BIOX81974, SATA83818, BIOX88234, BIOX00406, SATA11544"
2026-05-18 14:45:13,insomnie et anxiété,,"SATA83818, BIOX98015, BIOX66416, BIOX00406, BIOX81974"
2026-05-19 14:49:13,formation HTA pour généraliste,,"DXAV81350, IXMC86470, CHTA96578, CHTA52745, SCMI29586"
